Criado como novo conjunto de dados;Amostra 007 por Administrator data sexta-feira, julho 11 2025
cm-1;%T
2764,00;63,76
2763,00;63,78
2762,00;63,79
2761,00;63,80
2760,00;63,81
2759,00;63,82
2758,00;63,82
2757,00;63,83
2756,00;63,83
2755,00;63,84
2754,00;63,84
2753,00;63,85
2752,00;63,86
2751,00;63,87
2750,00;63,88
2749,00;63,89
2748,00;63,89
2747,00;63,89
2746,00;63,88
2745,00;63,89
2744,00;63,89
2743,00;63,89
2742,00;63,90
2741,00;63,91
2740,00;63,92
2739,00;63,92
2738,00;63,93
2737,00;63,93
2736,00;63,93
2735,00;63,94
2734,00;63,94
2733,00;63,95
2732,00;63,96
2731,00;63,96
2730,00;63,97
2729,00;63,98
2728,00;63,99
2727,00;64,00
2726,00;64,01
2725,00;64,02
2724,00;64,02
2723,00;64,03
2722,00;64,04
2721,00;64,05
2720,00;64,05
2719,00;64,06
2718,00;64,07
2717,00;64,09
2716,00;64,10
2715,00;64,11
2714,00;64,13
2713,00;64,14
2712,00;64,15
2711,00;64,16
2710,00;64,17
2709,00;64,18
2708,00;64,20
2707,00;64,21
2706,00;64,23
2705,00;64,25
2704,00;64,27
2703,00;64,28
2702,00;64,29
2701,00;64,30
2700,00;64,31
2699,00;64,33
2698,00;64,34
2697,00;64,35
2696,00;64,37
2695,00;64,38
2694,00;64,40
2693,00;64,41
2692,00;64,42
2691,00;64,43
2690,00;64,44
2689,00;64,45
2688,00;64,46
2687,00;64,47
2686,00;64,49
2685,00;64,50
2684,00;64,52
2683,00;64,53
2682,00;64,54
2681,00;64,55
2680,00;64,56
2679,00;64,57
2678,00;64,59
2677,00;64,60
2676,00;64,61
2675,00;64,63
2674,00;64,64
2673,00;64,65
2672,00;64,67
2671,00;64,68
2670,00;64,68
2669,00;64,69
2668,00;64,70
2667,00;64,70
2666,00;64,71
2665,00;64,72
2664,00;64,74
2663,00;64,75
2662,00;64,76
2661,00;64,77
2660,00;64,78
2659,00;64,79
2658,00;64,80
2657,00;64,80
2656,00;64,81
2655,00;64,82
2654,00;64,82
2653,00;64,83
2652,00;64,85
2651,00;64,86
2650,00;64,87
2649,00;64,88
2648,00;64,89
2647,00;64,90
2646,00;64,91
2645,00;64,91
2644,00;64,92
2643,00;64,94
2642,00;64,95
2641,00;64,97
2640,00;64,98
2639,00;65,00
2638,00;65,01
2637,00;65,02
2636,00;65,03
2635,00;65,03
2634,00;65,04
2633,00;65,05
2632,00;65,07
2631,00;65,08
2630,00;65,10
2629,00;65,11
2628,00;65,13
2627,00;65,14
2626,00;65,15
2625,00;65,16
2624,00;65,17
2623,00;65,18
2622,00;65,19
2621,00;65,20
2620,00;65,21
2619,00;65,22
2618,00;65,24
2617,00;65,25
2616,00;65,27
2615,00;65,28
2614,00;65,29
2613,00;65,30
2612,00;65,31
2611,00;65,31
2610,00;65,32
2609,00;65,33
